all_measures
225
418
839
1308
1875
3004
3326
3371
3380
3389
3662
3707
3716
3725
4046
4091
4100
4109
5067
5284
5669
5835
6270
6822
7035
8079
8296
8657
9015
9258
9762
9975
11091
11308
11669
12054
12459
12582
12795
12926
14987
15050
16977
17402
17592
17665
18669
18996
19070
19261
20277
20364
20678
21965
21974
21983
22474
22538
22766
22857
24856
24916
26859
27517
27628
27657
27698
28127
28420
28498
28566
28996
29039
29079
29454
29490
29748
29916
29952
30003
30447
30610
30650
30700
31387
31395
31576
31584
31882
31890
32075
32083
61854
61942
61954
62131
62198
64136
64145
64154
66043
66051
66166
66174
66289
66297
66412
66420
66537
66587
66595
67598
69335
69385
69433
69481
70214
70244
70292
70340
70388
70965
71676
72048
72126
72222
72318
72381
72516
72555
72582
72867
76131
76140
76149
92512
92548
92713
92745
92781
93034
93061
93207
93243
93672
93708
93737
93883
94137
94177
94333
94671
95507
95555
95603
95651
96011
96596
98770
98864
98943
99056
99147
99308
99374
99411
99572
99598
103034
103351
103360
103369
105096
106856
106904
106964
107044
107213
107261
107301
107433
108325
108334
108343
109318
109398
110661
111875
112118
112370
112420
113508
113517
113940
113949
113958
114228
114237
114246
114880
114928
114976
116590
118909
119092
119221
119698
120106
120344
120497
120967
121021
121077
125361
125448
125601
126377
126414
126920
128846
130144
130152
137826
138433
139546
139662
140137
140172
140426
140441
140605
140632
140643
141632
150813
150911
151114
151188
153560
153652
158358
158366
163803
172529
172572
172588
172737
172867
173380
173429
173441
173475
