train_loss,val_loss
4.0484216626485185,2.1768295764923096
1.342812769677904,0.6438863277435303
0.5694506947199504,0.4727058410644531
0.4594241448243459,0.3663214445114136
0.34960464980867173,0.28276342153549194
0.2724473463164436,0.23495833575725555
0.22843453526496887,0.20108889043331146
0.19707792845037247,0.17649905383586884
0.1703448122077518,0.1520160585641861
0.1466062859694163,0.13053524494171143
0.12800020691421296,0.11833714693784714
0.10872205982605616,0.09695262461900711
0.08997065365314484,0.08029674738645554
0.07502682920959261,0.06467343121767044
0.061303209645880596,0.05662854015827179
0.05313078024321132,0.048004042357206345
0.04561905218495263,0.044018302112817764
0.04057908475399017,0.03832370042800903
0.036590362621678245,0.03469903767108917
0.03270230030020078,0.02968072146177292
0.029284178117911022,0.028390634804964066
0.028092512695325745,0.026629971340298653
0.026261562315954102,0.029422901570796967
0.027711713471346433,0.028074562549591064
0.02603000351952182,0.024738352745771408
0.023741853386163712,0.02379653789103031
0.023440926571687063,0.02203020080924034
0.02206237875752979,0.02223876863718033
0.020842930724223455,0.02086476981639862
0.02004828416638904,0.020472506061196327
0.020057981030808556,0.024455979466438293
0.021641996055841446,0.02344672381877899
0.020790935481588047,0.019315382465720177
0.01904115682674779,0.019501088187098503
0.017668134197592736,0.01725185103714466
0.01622904804845651,0.0170204546302557
0.01580409445696407,0.017145203426480293
0.01634024960713254,0.016272583976387978
0.015238153094218837,0.01614021137356758
0.014718372354076968,0.016223136335611343
0.014414871831734975,0.014950884506106377
0.013807273333271345,0.014192993752658367
0.013410331801407866,0.01425313949584961
0.013283579949703481,0.017086023464798927
0.014262758087780741,0.015162527561187744
0.014109668487475979,0.01570666953921318
0.013957207691338328,0.01400423888117075
0.012830650574631161,0.014412786811590195
0.013212282918393612,0.013155470602214336
0.012274137110345893,0.016133064404129982
0.013163236056764921,0.012398488819599152
0.011486230803032717,0.012130859307944775
0.011383364159199926,0.012646272778511047
0.011018438157108096,0.012351910583674908
0.01109615152908696,0.011694014072418213
0.01051777278797494,0.011119735427200794
0.010408077753252453,0.0113157257437706
0.0104304565075371,0.010810316540300846
0.009959768681890436,0.010810318402945995
0.01003537184248368,0.014151867479085922
0.011920113753941324,0.012170635163784027
0.010639179245465332,0.011345194652676582
0.011860451652771897,0.013663254678249359
0.014751803444491493,0.01619781367480755
0.018197950911190773,0.019615041092038155
0.015535327614181572,0.015448111109435558
0.014247126049465604,0.014014392159879208
0.011439357739355829,0.010363859124481678
0.009735867981281546,0.010486026294529438
0.009192614298727777,0.011009271256625652
0.009454504864083396,0.014278162270784378
0.011024492867290974,0.009774711914360523
0.009448163447280725,0.009808518923819065
0.009024418257176876,0.010917415842413902
0.009325918845004506,0.009301516227424145
0.008415894353141388,0.009058978408575058
0.008468321156170633,0.011363662779331207
0.009243277654879622,0.011258311569690704
0.009730508592393662,0.010262657888233662
0.008576586035390694,0.00872654840350151
0.00799146189664801,0.008737856522202492
0.00786932576033804,0.008576508611440659
0.007632855083793402,0.008633921854197979
0.007764527565903134,0.008208581246435642
0.007483463659882545,0.007998400367796421
0.007227083028604587,0.007603667210787535
0.0071798478977547755,0.009136359207332134
0.008053400735888215,0.008306934498250484
0.007425184210555421,0.008775122463703156
0.007717039945224921,0.008579703979194164
